Customer Name:,comp231
Order Number:,472884
100003,Tamato,2.29,12/16/2022,12,2022-12-27,27.48
100005,Milk,2.99,12/6/2022,11,2022-12-30,32.89
100006,Lettce,0.99,12/16/2022,15,2022-12-31,14.85
Order Subtotal:,75.22





Customer Name:,ufghfgj
Order Number:,352742
100003,Tamato,2.29,3.89,15,2022-12-30,34.35
Order Subtotal:,34.35


Customer Name:,ufghfgj
Order Number:,533724
100004,egg,1.99,3.99,22,2022-12-22,43.78
Order Subtotal:,43.78


Customer Name:,ufghfgj
Order Number:,609415
100002,Patato,0.29,0.89,23,2022-12-21,6.67
Order Subtotal:,6.67


Customer Name:,ufghfgj
Order Number:,176453
100003,Tamato,2.29,3.89,22,2022-12-29,50.38
Order Subtotal:,50.38


Customer Name:,ufghfgj
Order Number:,15419
100003,Tamato,2.29,3.89,22,2022-12-29,50.38
Order Subtotal:,50.38


Customer Name:,ufghfgj
Order Number:,443440
100003,Tamato,2.29,3.89,12,2022-12-22,27.48
Order Subtotal:,27.48


Customer Name:,ufghfgj
Order Number:,107257
100003,Tamato,2.29,3.89,22,2022-12-30,50.38
Order Subtotal:,50.38


Customer Name:,ufghfgj
Order Number:,716566
100004,egg,1.99,3.99,12,2022-12-22,23.88
Order Subtotal:,23.88


Customer Name:,ufghfgj
Order Number:,710253
100002,Patato,0.29,0.89,11,2022-12-29,3.19
100004,egg,1.99,3.99,30,2022-12-31,59.7
Order Subtotal:,62.89


Customer Name:,ufghfgj
Order Number:,855140
100002,Patato,0.29,0.89,11,2022-12-27,3.19
100007,Celery,0.39,0.99,12,2022-12-29,4.68
100006,Lettce,0.99,1.99,15,2022-12-31,14.85
Order Subtotal:,22.72


